CODIGO CLIENTE,cluster
36253,0
36569,0
32082,0
59344,0
78551,0
36580,0
36586,0
38156,0
64537,0
64599,0
64552,0
64610,0
64618,0
64619,0
64620,0
12309,3
84688,1
88753,1
32232,4
21125,2
28402,0
6094,0
30901,2
8510,3
714,3
32221,0
16304,3
5255,0
31343,0
14142,3
68759,0
70583,0
8080,3
4209,2
12365,0
52451,2
38470,1
25303,0
17820,3
32351,4
6244,2
794,1
6021,2
33992,2
46095,4
51530,0
80817,4
81048,4
81146,4
81169,4
32335,0
19109,0
13660,0
38098,0
24602,0
27425,4
27764,4
22595,0
79995,0
27221,0
7577,0
25358,0
9294,3
59544,0
12756,0
29459,0
31807,0
32557,0
32047,3
10623,0
48165,0
8536,0
31597,0
23719,0
33991,0
20157,0
20222,0
25528,3
12742,0
13622,0
4346,3
8576,0
19440,0
16838,3
17925,3
17808,4
20673,0
9480,0
27731,0
15889,0
84615,0
18263,0
25100,3
25872,3
30028,3
441,4
841,4
3032,4
3255,4
3929,0
22839,0
18310,0
73105,0
74111,0
75616,0
9733,0
30426,0
2654,0
19731,0
31694,0
31706,0
58327,0
18672,0
25417,4
13784,0
14901,0
21322,0
80975,2
2726,0
24388,0
29871,0
32024,0
32025,0
34347,3
60484,0
6616,0
16842,3
15038,0
16901,0
32585,3
20091,0
56607,4
21728,0
438,0
21033,0
21964,0
47346,0
43975,4
13914,0
17057,0
21618,0
22457,0
24948,0
32188,0
32189,0
33207,0
33511,0
41675,0
58369,0
78450,0
8131,4
31173,0
6436,0
8138,4
9710,0
12518,4
14630,4
15934,0
15960,0
16426,0
16514,0
16871,4
17567,0
17612,0
19041,0
27759,4
27938,4
28321,0
41333,4
41921,0
46619,0
53396,0
57795,4
65127,4
65571,4
74018,0
12809,4
18001,4
46212,0
63339,0
28731,0
13788,0
18620,0
28422,0
29574,0
34047,4
41822,0
42032,0
43383,4
43396,4
43473,4
70466,0
3257,0
3941,0
9320,4
16869,0
8125,0
13209,0
3133,0
16645,0
16757,0
77840,0
2064,0
72862,0
6562,0
14818,0
15034,0
15804,4
16561,4
17220,0
17358,0
19951,0
44311,4
65383,4
65427,4
70342,4
