CODIGO CLIENTE,CODIGO PRESTAMO,prob_fuga,decil_riesgo,segmento_riesgo,valor_cliente,beneficio_esperado,prioridad_campana,recomendar_campana
1,709440,0.030010172939979655,7,Bajo,0.0,-25.0,9972,No
2,837120,0.08191489361702127,6,Bajo,0.0,-25.0,9973,No
3,118010,0.4155701754385965,5,Medio,0.0,-25.0,9974,No
4,150320,0.751269035532995,2,Alto,0.0,-25.0,9975,No
5,165600,0.4490472245236123,4,Medio,0.0,-25.0,9976,No
6,183870,0.23846153846153842,6,Medio,0.0,-25.0,9977,No
7,240600,0.3372395833333333,5,Medio,0.0,-25.0,9978,No
8,345030,0.08709016393442623,6,Bajo,0.0,-25.0,9979,No
9,353830,0.015706806282722516,7,Bajo,0.0,-25.0,9980,No
10,464070,0.015706806282722516,7,Bajo,0.0,-25.0,9981,No
11,702300,0.05795454545454545,7,Bajo,0.0,-25.0,9982,No
12,724510,0.041237113402061855,7,Bajo,0.0,-25.0,9983,No
13,774260,0.041237113402061855,7,Bajo,0.0,-25.0,9984,No
14,790320,0.13483146067415727,6,Bajo,0.0,-25.0,9985,No
15,361270,0.01694915254237288,7,Bajo,4.896,-24.98340338983051,9943,No
16,361340,0.006920415224913495,7,Bajo,4.896,-24.993223529411765,9960,No
17,361410,0.006920415224913495,7,Bajo,4.896,-24.993223529411765,9961,No
18,361480,0.006920415224913495,7,Bajo,4.896,-24.993223529411765,9962,No
19,361550,0.006920415224913495,7,Bajo,4.896,-24.993223529411765,9963,No
20,361620,0.006920415224913495,7,Bajo,4.896,-24.993223529411765,9964,No
21,361690,0.006920415224913495,7,Bajo,4.896,-24.993223529411765,9965,No
22,361760,0.006920415224913495,7,Bajo,4.896,-24.993223529411765,9966,No
23,363930,0.006920415224913495,7,Bajo,4.896,-24.993223529411765,9967,No
24,613760,0.006920415224913495,7,Bajo,21.0,-24.97093425605536,9785,No
25,386300,0.8339060710194731,2,Alto,0.03,-24.994996563573885,9968,No
26,440040,0.035,7,Bajo,4.5,-24.9685,9780,No
27,440050,0.035,7,Bajo,4.5,-24.9685,9781,No
28,558780,0.00395882818685669,8,Bajo,42.0,-24.966745843230402,9778,No
29,641410,0.015706806282722516,7,Bajo,42.0,-24.86806282722513,9126,No
30,837080,0.030010172939979655,7,Bajo,42.0,-24.74791454730417,8760,No
31,705930,0.13483146067415727,6,Bajo,31.868999999999993,-24.140611235955056,7488,No
32,705940,0.13483146067415727,6,Bajo,31.868999999999993,-24.140611235955056,7489,No
33,243890,0.7387958410713422,2,Alto,36.0,-19.680669944286336,6173,No
34,565900,0.002488654662567706,8,Bajo,28.799999999999997,-24.98566534914361,9953,No
35,266460,0.2586476375832887,5,Medio,44.9973,-22.672310931474698,6714,No
36,804380,0.006920415224913495,7,Bajo,105.0,-24.85467128027682,9083,No
37,350960,0.7103092783505155,3,Alto,0.15,-24.978690721649485,9933,No
38,350970,0.817966903073286,2,Alto,0.15,-24.975460992907802,9905,No
39,664280,0.9367088607594937,1,Alto,0.15,-24.971898734177216,9789,No
40,647230,0.01694915254237288,7,Bajo,44.25,-24.85,9074,No
41,293520,0.49535603715170295,4,Medio,95.11380000000001,-15.57696099071207,5830,No
42,423170,0.002488654662567706,8,Bajo,126.0,-24.937285902503294,9529,No
43,505920,0.002488654662567706,8,Bajo,126.0,-24.937285902503294,9530,No
44,506450,0.006920415224913495,7,Bajo,126.0,-24.82560553633218,9000,No
45,552120,0.015706806282722516,7,Bajo,126.0,-24.604188481675394,8453,No
46,613610,0.05795454545454545,7,Bajo,126.0,-23.539545454545454,7021,No
47,628900,0.002488654662567706,8,Bajo,126.0,-24.937285902503294,9531,No
48,648010,0.002488654662567706,8,Bajo,126.0,-24.937285902503294,9532,No
49,689020,0.00395882818685669,8,Bajo,126.0,-24.90023752969121,9236,No
50,784440,0.030010172939979655,7,Bajo,126.0,-24.243743641912513,7598,No
51,808160,0.006920415224913495,7,Bajo,126.0,-24.82560553633218,9001,No
52,825350,0.009259259259259259,7,Bajo,126.0,-24.766666666666666,8798,No
53,826500,0.11088295687885011,6,Bajo,126.0,-22.205749486652977,6593,No
54,837250,0.002488654662567706,8,Bajo,126.0,-24.937285902503294,9533,No
55,855520,0.015706806282722516,7,Bajo,126.0,-24.604188481675394,8454,No
56,597240,0.05795454545454545,7,Bajo,126.0,-23.539545454545454,7022,No
57,1750,0.9643635135789099,1,Alto,77.39999999999999,-10.071652809798476,5463,No
58,369020,0.015706806282722516,7,Bajo,77.39999999999999,-24.756858638743456,8784,No
59,306500,0.008152756521255895,7,Bajo,77.39999999999999,-24.87379532905096,9146,No
60,173520,0.7387958410713422,2,Alto,77.39999999999999,-13.563440380215622,5661,No
61,354450,0.015706806282722516,7,Bajo,43.199999999999996,-24.864293193717277,9097,No
62,354520,0.015706806282722516,7,Bajo,43.199999999999996,-24.864293193717277,9098,No
63,354590,0.015706806282722516,7,Bajo,43.199999999999996,-24.864293193717277,9099,No
64,354660,0.015706806282722516,7,Bajo,43.199999999999996,-24.864293193717277,9100,No
65,354730,0.015706806282722516,7,Bajo,43.199999999999996,-24.864293193717277,9101,No
66,354800,0.015706806282722516,7,Bajo,43.199999999999996,-24.864293193717277,9102,No
67,354870,0.015706806282722516,7,Bajo,43.199999999999996,-24.864293193717277,9103,No
68,355780,0.015706806282722516,7,Bajo,43.199999999999996,-24.864293193717277,9104,No
69,725400,0.11088295687885011,6,Bajo,78.3,-23.263572895277207,6890,No
70,105590,0.9999,1,Alto,0.0,-25.0,9986,No
71,308600,0.7103092783505155,3,Alto,81.408825,-13.43491125257732,5657,No
72,273670,0.7387958410713422,2,Alto,59.995799999999996,-16.135070495650393,5865,No
73,273680,0.7387958410713422,2,Alto,59.995799999999996,-16.135070495650393,5866,No
74,440060,0.041237113402061855,7,Bajo,35.955,-24.703463917525774,8688,No
75,388510,0.030010172939979655,7,Bajo,70.8,-24.575055951169887,8428,No
76,7340,0.05795454545454545,7,Bajo,109.443546,-23.731449807727273,7108,No
77,142300,0.9367088607594937,1,Alto,144.87444,2.1410343291139213,4872,Sí
78,306790,0.9367088607594937,1,Alto,115.682526,-3.3278305721518997,5134,No
79,260370,0.6460905349794238,3,Alto,69.7468176,-15.987448260740742,5852,No
80,293380,0.8616298022399826,1,Alto,71.856,-12.617345786048762,5621,No
81,157990,0.023278722920911196,7,Bajo,166.5,-24.224818526733657,7576,No
82,521360,0.0001,10,Bajo,180.0,-24.9964,9969,No
83,586430,0.4155701754385965,5,Medio,0.03,-24.99750657894737,9970,No
84,586440,0.4155701754385965,5,Medio,0.03,-24.99750657894737,9971,No
85,624030,0.0038314176245210726,8,Bajo,210.0,-24.839080459770116,9038,No
86,662750,0.0002443195699975568,9,Bajo,180.0,-24.991204495480087,9955,No
87,716860,0.0002443195699975568,9,Bajo,180.0,-24.991204495480087,9956,No
88,717470,0.0002443195699975568,9,Bajo,180.0,-24.991204495480087,9957,No
89,859730,0.029005524861878452,7,Bajo,210.0,-23.781767955801104,7133,No
90,859740,0.029005524861878452,7,Bajo,210.0,-23.781767955801104,7134,No
91,859750,0.029005524861878452,7,Bajo,210.0,-23.781767955801104,7135,No
92,859760,0.029005524861878452,7,Bajo,210.0,-23.781767955801104,7136,No
93,206270,0.09523446674658179,6,Bajo,130.79999999999998,-22.50866634990942,6672,No
94,126240,0.11963479492106192,6,Bajo,88.5,-22.882464129897205,6774,No
95,144860,0.5073907658875524,4,Alto,166.5,-8.103887495944505,5356,No
96,121050,0.18428888849113062,6,Bajo,130.79999999999998,-20.179002677072024,6245,No
97,724520,0.577212020033389,3,Alto,88.5,-14.783347245409013,5772,No
98,90880,0.13476962978634788,6,Bajo,130.79999999999998,-21.47442648478914,6467,No
99,218350,0.95578231292517,1,Alto,166.5,6.8275510204081655,4658,Sí
100,338120,0.4830208249299662,4,Medio,166.5,-8.915406529832126,5382,No
101,284710,0.3659767298402987,5,Medio,166.5,-12.812974896318051,5622,No
102,300820,0.9643635135789099,1,Alto,90.0,-7.641456755579622,5337,No
103,341140,0.6337298146673324,3,Alto,166.5,-3.8967971715778305,5155,No
104,88570,0.7387958410713422,2,Alto,166.5,-0.3980984923243014,4966,No
105,154390,0.9643635135789099,1,Alto,90.0,-7.641456755579622,5338,No
106,289770,0.9748713797272744,1,Alto,166.5,7.463216944918244,4632,Sí
107,99440,0.3064157764943565,5,Medio,166.5,-14.79635464273793,5773,No
108,63290,0.8616298022399826,1,Alto,90.0,-9.490663559680312,5425,No
109,286840,0.1105864797301402,6,Bajo,88.5,-23.04261930877652,6817,No
110,165330,0.08862601989521858,6,Bajo,130.79999999999998,-22.68154331954108,6715,No
111,326580,0.48966632776888547,4,Medio,130.79999999999998,-12.190328865565958,5597,No
112,77020,0.6980392156862745,3,Alto,166.5,-1.7552941176470576,5031,No
113,92530,0.5417406749555951,4,Alto,130.79999999999998,-10.828063943161634,5515,No
114,272250,0.13476962978634788,6,Bajo,130.79999999999998,-21.47442648478914,6468,No
115,217240,0.09523446674658179,6,Bajo,130.79999999999998,-22.50866634990942,6673,No
116,133010,0.48966632776888547,4,Medio,136.5,-11.632109251909426,5579,No
117,481930,0.21199143468950749,6,Medio,136.5,-19.212633832976444,6135,No
118,25890,0.48966632776888547,4,Medio,130.79999999999998,-12.190328865565958,5598,No
119,111860,0.2821741113702567,5,Medio,88.5,-20.005518228746457,6210,No
120,132030,0.776685393258427,2,Alto,88.5,-11.25266853932584,5542,No
121,132040,0.6460905349794238,3,Alto,88.5,-13.564197530864199,5662,No
122,149470,0.8339060710194731,2,Alto,88.5,-10.239862542955326,5474,No
123,780940,0.17019027484143764,6,Bajo,88.5,-21.987632135306555,6540,No
124,33650,0.9367088607594937,1,Alto,130.5,-0.5518987341772146,4985,No
125,175900,0.2821741113702567,5,Medio,166.5,-15.603602091370451,5839,No
126,115610,0.13476962978634788,6,Bajo,130.79999999999998,-21.47442648478914,6469,No
127,132350,0.08862601989521858,6,Bajo,130.79999999999998,-22.68154331954108,6716,No
128,227230,0.3992828611200487,5,Medio,130.79999999999998,-14.554760353099526,5764,No
129,237530,0.3992828611200487,5,Medio,130.79999999999998,-14.554760353099526,5765,No
130,251440,0.577212020033389,3,Alto,130.79999999999998,-9.900133555926544,5457,No
