decil_riesgo,clientes,prob_media,prob_min,prob_max,fugas_esperadas,saldo_en_riesgo,pct_primer_credito,captura_acum_%,lift
1,1000,0.942124365790585,0.8616298022399826,0.9999,942.124365790585,888108.66,0.332,27.369406537396785,2.736940653739678
2,1000,0.791582489191517,0.7387958410713422,0.8616298022399826,791.582489191517,731752.28,0.199,50.365460711610595,2.299605417421381
3,1000,0.6674916236885707,0.577212020033389,0.7387958410713422,667.4916236885707,641139.65,0.203,69.75658387156541,1.9391123159954822
4,1000,0.5113674837695805,0.4325937092181664,0.577212020033389,511.3674837695805,674021.9,0.2,84.61218580852486,1.4855601936959442
5,1000,0.34962919605867837,0.2558139534883721,0.4325937092181664,349.62919605867836,861263.23,0.537,94.76917139528781,1.0156985586762968
6,1000,0.15149601353203188,0.060294117647058824,0.2558139534883721,151.49601353203187,1804828.81,0.355,99.17024213892975,0.4401070743641923
7,1000,0.02331942636986,0.006097560975609756,0.060294117647058824,23.31942636986,6243873.57,0.044,99.84768864568684,0.06774465067571096
8,1000,0.0032993446346426037,0.002488654662567706,0.006097560975609756,3.299344634642604,5986365.4,0.002,99.94353703671827,0.009584839103140695
9,1000,0.0017731704029797359,0.0002443195699975568,0.002488654662567706,1.773170402979736,17340436.66,0.001,99.99504894255726,0.005151190583899986
10,1000,0.0001704279501588077,0.0001,0.0002443195699975568,0.1704279501588077,22075672.62,0.0,100.0,0.0004951057442737269
