productos_del_combo,n_productos,n_tickets,support,confidence,lift
Green Tea + Lemon Cookie + Lemon Lemonade + Raspberry Cookie + Raspberry Lemonade,5,196,0.019637310890692317,0.9849246231155779,36.40938023450587
Apple Croissant + Apple Danish + Apple Tart + Cherry Soda,4,204,0.02043883378418996,0.9357798165137614,34.212521423530596
Almond Twist + Apple Pie + Coffee Eclair + Hot Coffee,4,266,0.026650636208796714,0.7492957746478873,24.846249590566657
Chocolate Tart + Vanilla Frappuccino + Walnut Cookie,3,284,0.028454062719166416,0.38430311231393777,12.53506328106344
Casino Cake + Chocolate Cake + Chocolate Coffee,3,323,0.032361486824967436,0.936231884057971,11.666080442924605
Blackberry Tart + Coffee Eclair + Single Espresso,3,266,0.026650636208796714,0.9172413793103449,11.632765193007055
Apricot Croissant + Blueberry Tart + Hot Coffee,3,348,0.03486624586714758,0.9182058047493403,11.149163183945458
Apricot Danish + Cherry Tart + Opera Cake,3,405,0.0405770964833183,0.9507042253521125,10.461939220771152
Berry Tart + Bottled Water,2,366,0.03666967237751728,0.5147679324894514,6.009238285587386
Marzipan Cookie + Tuile Cookie,2,484,0.04849213505660756,0.5046923879040668,5.989696460963723
