productos_del_combo,n_productos,antecedents_txt,consequents_txt,n_tickets,support,confidence,lift,leverage,conviction
Green Tea + Lemon Cookie + Lemon Lemonade + Raspberry Cookie + Raspberry Lemonade,5,Green Tea + Lemon Cookie + Raspberry Cookie,Lemon Lemonade + Raspberry Lemonade,196,0.019637310890692317,0.9849246231155779,36.40938023450587,0.019097963316956863,64.53892395551567
Apple Croissant + Apple Danish + Apple Tart + Cherry Soda,4,Apple Tart + Cherry Soda,Apple Croissant + Apple Danish,204,0.02043883378418996,0.9357798165137614,34.212521423530596,0.01984142579045663,15.145519343896245
Almond Twist + Apple Pie + Coffee Eclair + Hot Coffee,4,Almond Twist + Apple Pie,Coffee Eclair + Hot Coffee,266,0.026650636208796714,0.7492957746478873,24.846249590566657,0.02557801411701369,3.8684736955271197
Chocolate Tart + Vanilla Frappuccino + Walnut Cookie,3,Vanilla Frappuccino,Chocolate Tart + Walnut Cookie,284,0.028454062719166416,0.38430311231393777,12.53506328106344,0.026184105074664406,1.5743814346158802
Casino Cake + Chocolate Cake + Chocolate Coffee,3,Casino Cake + Chocolate Coffee,Chocolate Cake,323,0.032361486824967436,0.936231884057971,11.666080442924605,0.029587505710805442,14.423313386343134
Blackberry Tart + Coffee Eclair + Single Espresso,3,Coffee Eclair + Single Espresso,Blackberry Tart,266,0.026650636208796714,0.9172413793103449,11.632765193007055,0.024359638688721475,11.130564739672051
Apricot Croissant + Blueberry Tart + Hot Coffee,3,Blueberry Tart + Hot Coffee,Apricot Croissant,348,0.03486624586714758,0.9182058047493403,11.149163183945458,0.03173899359790515,11.218932100022293
Apricot Danish + Cherry Tart + Opera Cake,3,Cherry Tart + Opera Cake,Apricot Danish,405,0.0405770964833183,0.9507042253521125,10.461939220771152,0.03669855201588759,18.44229750812252
Berry Tart + Bottled Water,2,Bottled Water,Berry Tart,366,0.03666967237751728,0.5147679324894514,6.009238285587386,0.030567455984223946,1.8843297918218527
Marzipan Cookie + Tuile Cookie,2,Tuile Cookie,Marzipan Cookie,484,0.04849213505660756,0.5046923879040668,5.989696460963723,0.04039620976679657,1.848830673015572
Napoleon Cake + Strawberry Cake,2,Strawberry Cake,Napoleon Cake,457,0.045786995291053,0.4978213507625272,5.866298585549923,0.037981904120985864,1.8223370608059868
Cheese Croissant + Orange Juice,2,Cheese Croissant,Orange Juice,437,0.04378318805730889,0.5448877805486284,5.841594992111557,0.03628811383247246,1.9923059292107057
Gongolais Cookie + Truffle Cake,2,Truffle Cake,Gongolais Cookie,441,0.04418394950405771,0.511600928074246,5.502466447315785,0.03615410508299604,1.857135683689747
Lemon Cake + Lemon Tart,2,Lemon Cake,Lemon Tart,362,0.03626891093076846,0.4184971098265896,5.32783119027958,0.029461467219537577,1.5846021954636273
