antecedents_txt,consequents_txt,n_tickets,support,confidence,lift,leverage,conviction
Green Tea + Lemon Cookie + Raspberry Cookie,Lemon Lemonade + Raspberry Lemonade,196,0.019637310890692317,0.9849246231155779,36.40938023450587,0.019097963316956863,64.53892395551567
Lemon Lemonade + Raspberry Lemonade,Green Tea + Lemon Cookie + Raspberry Cookie,196,0.019637310890692317,0.725925925925926,36.40938023450586,0.019097963316956863,3.575902322520898
Green Tea + Raspberry Lemonade,Lemon Cookie + Lemon Lemonade + Raspberry Cookie,196,0.019637310890692317,0.9245283018867926,35.628250892401844,0.019086138425055497,12.906171726279954
Lemon Cookie + Lemon Lemonade + Raspberry Cookie,Green Tea + Raspberry Lemonade,196,0.019637310890692317,0.7567567567567568,35.62825089240184,0.019086138425055497,4.023789644769507
Raspberry Cookie + Raspberry Lemonade,Green Tea + Lemon Cookie + Lemon Lemonade,196,0.019637310890692317,0.7050359712230216,35.5402223675605,0.019084773242289296,3.3229892894059696
Green Tea + Lemon Cookie + Lemon Lemonade,Raspberry Cookie + Raspberry Lemonade,196,0.019637310890692317,0.9898989898989901,35.5402223675605,0.019084773242289296,96.24256086564621
Lemon Cookie + Raspberry Cookie + Raspberry Lemonade,Green Tea + Lemon Lemonade,196,0.019637310890692317,0.7596899224806202,35.43207998261248,0.019083086840048693,4.072069189524613
Lemon Lemonade + Raspberry Cookie + Raspberry Lemonade,Green Tea + Lemon Cookie,196,0.019637310890692317,0.7596899224806202,35.43207998261248,0.019083086840048693,4.072069189524613
Green Tea + Lemon Cookie,Lemon Lemonade + Raspberry Cookie + Raspberry Lemonade,196,0.019637310890692317,0.9158878504672897,35.43207998261248,0.019083086840048693,11.581571652807
Green Tea + Lemon Lemonade,Lemon Cookie + Raspberry Cookie + Raspberry Lemonade,196,0.019637310890692317,0.9158878504672897,35.43207998261248,0.019083086840048693,11.581571652807
Green Tea + Lemon Lemonade + Raspberry Cookie,Lemon Cookie + Raspberry Lemonade,196,0.019637310890692317,0.9898989898989901,34.91230324445873,0.019074835514800034,96.19296663661105
Lemon Cookie + Raspberry Lemonade,Green Tea + Lemon Lemonade + Raspberry Cookie,196,0.019637310890692317,0.6925795053003534,34.91230324445873,0.019074835514800034,3.1883440606117146
Green Tea + Lemon Cookie + Raspberry Lemonade,Lemon Lemonade + Raspberry Cookie,196,0.019637310890692317,1.0,34.8986013986014,0.019074614676411382,inf
Lemon Lemonade + Raspberry Cookie,Green Tea + Lemon Cookie + Raspberry Lemonade,196,0.019637310890692317,0.6853146853146853,34.89860139860139,0.019074614676411382,3.115374767614022
Lemon Cookie + Lemon Lemonade,Green Tea + Raspberry Cookie + Raspberry Lemonade,196,0.019637310890692317,0.6877192982456141,34.843280790809516,0.019073721284748206,3.139042833068223
Green Tea + Raspberry Cookie + Raspberry Lemonade,Lemon Cookie + Lemon Lemonade,196,0.019637310890692317,0.9949238578680204,34.843280790809516,0.019073721284748206,191.37481214307545
Green Tea + Lemon Lemonade + Raspberry Lemonade,Lemon Cookie + Raspberry Cookie,196,0.019637310890692317,0.9949238578680204,34.72145113769479,0.01907174377735893,191.35507464182305
Lemon Cookie + Raspberry Cookie,Green Tea + Lemon Lemonade + Raspberry Lemonade,196,0.019637310890692317,0.6853146853146853,34.72145113769479,0.01907174377735893,3.115056384909105
Apple Croissant + Apple Danish,Apple Tart + Cherry Soda,204,0.02043883378418996,0.7472527472527473,34.212521423530596,0.01984142579045663,3.870105374123879
Apple Tart + Cherry Soda,Apple Croissant + Apple Danish,204,0.02043883378418996,0.9357798165137614,34.212521423530596,0.01984142579045663,15.145519343896245
Green Tea + Raspberry Cookie,Lemon Cookie + Lemon Lemonade + Raspberry Lemonade,196,0.019637310890692317,0.8789237668161436,33.87080353896498,0.019057539853725287,8.044937232593787
Lemon Cookie + Lemon Lemonade + Raspberry Lemonade,Green Tea + Raspberry Cookie,196,0.019637310890692317,0.7567567567567568,33.87080353896498,0.019057539853725287,4.019258813968763
Lemon Lemonade + Raspberry Lemonade,Green Tea + Lemon Cookie,196,0.019637310890692317,0.725925925925926,33.857320872274144,0.01905730897722806,3.570418931104234
Green Tea + Lemon Cookie,Lemon Lemonade + Raspberry Lemonade,196,0.019637310890692317,0.9158878504672897,33.857320872274144,0.01905730897722806,11.567277827872957
Lemon Lemonade + Raspberry Lemonade,Lemon Cookie + Raspberry Cookie,257,0.025748922953611864,0.951851851851852,33.21829836829837,0.02497378020944935,20.174100020808808
Lemon Cookie + Raspberry Cookie,Lemon Lemonade + Raspberry Lemonade,257,0.025748922953611864,0.8986013986013986,33.21829836829837,0.02497378020944935,9.595286216224624
Raspberry Cookie + Raspberry Lemonade,Green Tea + Lemon Cookie,196,0.019637310890692317,0.7050359712230216,32.88300948026625,0.019040123735347636,3.3175545732012783
Raspberry Cookie + Raspberry Lemonade,Green Tea + Lemon Lemonade,196,0.019637310890692317,0.7050359712230216,32.88300948026625,0.019040123735347636,3.3175545732012783
Green Tea + Lemon Lemonade,Raspberry Cookie + Raspberry Lemonade,196,0.019637310890692317,0.9158878504672897,32.88300948026625,0.019040123735347636,11.557748611250263
Green Tea + Lemon Cookie,Raspberry Cookie + Raspberry Lemonade,196,0.019637310890692317,0.9158878504672897,32.88300948026625,0.019040123735347636,11.557748611250263
Lemon Lemonade + Raspberry Lemonade,Green Tea + Raspberry Cookie,196,0.019637310890692317,0.725925925925926,32.49088191330344,0.019032916373390777,3.567128896254235
Green Tea + Raspberry Cookie,Lemon Lemonade + Raspberry Lemonade,196,0.019637310890692317,0.8789237668161436,32.49088191330344,0.019032916373390777,8.035834752696797
Green Tea + Raspberry Lemonade,Lemon Cookie + Lemon Lemonade,196,0.019637310890692317,0.9245283018867926,32.37795431976168,0.019030808370590027,12.871656146678712
Lemon Cookie + Lemon Lemonade,Green Tea + Raspberry Lemonade,196,0.019637310890692317,0.6877192982456141,32.37795431976167,0.019030808370590027,3.1342303185040343
Raspberry Cookie + Raspberry Lemonade,Lemon Cookie + Lemon Lemonade,257,0.025748922953611864,0.9244604316546763,32.375577432790614,0.024953603611213578,12.860091316358229
Lemon Cookie + Lemon Lemonade,Raspberry Cookie + Raspberry Lemonade,257,0.025748922953611864,0.9017543859649123,32.375577432790614,0.024953603611213578,9.89506848726867
Green Tea + Lemon Lemonade,Lemon Cookie + Raspberry Lemonade,196,0.019637310890692317,0.9158878504672897,32.30203758132162,0.019029382959172374,11.551792850861078
Lemon Cookie + Raspberry Lemonade,Green Tea + Lemon Lemonade,196,0.019637310890692317,0.6925795053003534,32.30203758132162,0.019029382959172374,3.1831295553505687
Green Tea + Raspberry Lemonade,Lemon Cookie + Raspberry Cookie,196,0.019637310890692317,0.9245283018867926,32.264744689272995,0.019028680291572123,12.870328624386355
Lemon Cookie + Raspberry Cookie,Green Tea + Raspberry Lemonade,196,0.019637310890692317,0.6853146853146853,32.264744689272995,0.019028680291572123,3.110280644335348
Green Tea + Raspberry Lemonade,Lemon Lemonade + Raspberry Cookie,196,0.019637310890692317,0.9245283018867926,32.264744689272995,0.019028680291572123,12.870328624386355
Lemon Lemonade + Raspberry Cookie,Green Tea + Raspberry Lemonade,196,0.019637310890692317,0.6853146853146853,32.264744689272995,0.019028680291572123,3.110280644335348
Apple Danish + Cherry Soda,Apple Croissant + Apple Tart,204,0.02043883378418996,0.8793103448275862,32.147972716938234,0.01980306013948293,8.059083687577825
Apple Croissant + Apple Tart,Apple Danish + Cherry Soda,204,0.02043883378418996,0.7472527472527473,32.147972716938234,0.01980306013948293,3.8645556993069445
Green Tea + Lemon Cookie,Lemon Lemonade + Raspberry Cookie,196,0.019637310890692317,0.9158878504672897,31.963205019279783,0.019022938493467215,11.54821939462757
Lemon Cookie + Raspberry Cookie,Green Tea + Lemon Lemonade,196,0.019637310890692317,0.6853146853146853,31.963205019279783,0.019022938493467215,3.109643878925514
Lemon Lemonade + Raspberry Cookie,Green Tea + Lemon Cookie,196,0.019637310890692317,0.6853146853146853,31.963205019279783,0.019022938493467215,3.109643878925514
Green Tea + Lemon Lemonade,Lemon Cookie + Raspberry Cookie,196,0.019637310890692317,0.9158878504672897,31.963205019279783,0.019022938493467215,11.54821939462757
