,soporte
Coffee Eclair,0.10860635206893098
Hot Coffee,0.10329626289950906
Tuile Cookie,0.09608255685803026
Orange Juice,0.0932772267307885
Gongolais Cookie,0.09297665564572688
Cherry Tart,0.09217513275222923
Strawberry Cake,0.09197475202885483
Apricot Danish,0.09087265805029557
Lemon Cake,0.08666466285943292
Truffle Cake,0.08636409177437131
Blueberry Tart,0.08636409177437131
Berry Tart,0.08566275924256087
Napoleon Cake,0.08486123634906322
Marzipan Cookie,0.08426009417893998
Chocolate Coffee,0.08245666766857028
Apricot Croissant,0.08235647730688307
Opera Cake,0.08225628694519588
Cheese Croissant,0.08035267007313897
Chocolate Cake,0.08025247971145176
Blackberry Tart,0.07884981464783088
Lemon Tart,0.07854924356276927
Apple Pie,0.07584410379721471
Chocolate Tart,0.0755435327121531
Almond Twist,0.07434124837190663
Vanilla Frappuccino,0.074040677286845
Single Espresso,0.07203687005310089
Casino Cake,0.07173629896803928
Lemon Cookie,0.07163610860635207
Bottled Water,0.07123534715960325
Raspberry Cookie,0.06983268209598237
Apple Croissant,0.06903115920248472
Lemon Lemonade,0.06883077847911032
Walnut Cookie,0.06883077847911032
Raspberry Lemonade,0.06792906522392546
Apple Tart,0.06762849413886383
Cherry Soda,0.06652640016030457
Apple Danish,0.06602544835186855
Green Tea,0.058711551948702534
Ganache Cookie,0.04528604348261697
Chocolate Meringue,0.04508566275924256
Almond Croissant,0.044785091674180946
Almond Bear Claw,0.044083759142370504
Chocolate Croissant,0.04378318805730889
Vanilla Meringue,0.04348261697224727
Vanilla Eclair,0.043182045887185654
Blueberry Danish,0.04278128444043683
Apricot Tart,0.04248071335537521
Pecan Tart,0.04187957118525198
Almond Tart,0.04167919046187757
Chocolate Eclair,0.0405770964833183
